"GEO_ID","NAME","B05005_001E","B05005_001M","B05005_001MA","B05005_001EA","B05005_002E","B05005_002EA","B05005_002M","B05005_002MA","B05005_003E","B05005_003M","B05005_003MA","B05005_003EA","B05005_004E","B05005_004EA","B05005_004M","B05005_004MA","B05005_005E","B05005_005EA","B05005_005M","B05005_005MA","B05005_006E","B05005_006EA","B05005_006M","B05005_006MA","B05005_007E","B05005_007EA","B05005_007M","B05005_007MA","B05005_008E","B05005_008EA","B05005_008M","B05005_008MA","B05005_009E","B05005_009M","B05005_009MA","B05005_009EA","B05005_010E","B05005_010EA","B05005_010M","B05005_010MA","B05005_011E","B05005_011EA","B05005_011M","B05005_011MA","B05005_012E","B05005_012M","B05005_012MA","B05005_012EA","B05005_013E","B05005_013EA","B05005_013M","B05005_013MA","B05005_014E","B05005_014M","B05005_014MA","B05005_014EA","B05005_015E","B05005_015EA","B05005_015M","B05005_015MA","B05005_016E","B05005_016M","B05005_016MA","B05005_016EA","B05005_017E","B05005_017M","B05005_017MA","B05005_017EA","B05005_018E","B05005_018M","B05005_018MA","B05005_018EA","B05005_019E","B05005_019EA","B05005_019M","B05005_019MA","B05005_020E","B05005_020M","B05005_020MA","B05005_020EA","B05005_021E","B05005_021EA","B05005_021M","B05005_021MA","POPGROUP","POPGROUP_TTL",
"0500000US36083","Rensselaer County, New York","717","225","null","null","497","null","176","null","0","123","null","null","497","null","176","null","17","null","25","null","480","null","177","null","94","null","64","null","0","null","123","null","94","64","null","null","63","null","59","null","31","null","25","null","84","72","null","null","0","null","123","null","84","72","null","null","48","null","46","null","36","63","null","null","42","42","null","null","0","123","null","null","42","null","42","null","42","42","null","null","0","null","123","null","016","Chinese alone (410-419)",
"0500000US36085","Richmond County, New York","8176","761","null","null","1465","null","356","null","26","29","null","null","1439","null","352","null","445","null","217","null","994","null","287","null","3062","null","551","null","0","null","123","null","3062","551","null","null","2118","null","425","null","944","null","247","null","2315","369","null","null","23","null","37","null","2292","360","null","null","2028","null","353","null","264","132","null","null","1334","304","null","null","33","35","null","null","1301","null","300","null","1278","298","null","null","23","null","28","null","016","Chinese alone (410-419)",
"0500000US36087","Rockland County, New York","2361","514","null","null","556","null","236","null","10","16","null","null","546","null","235","null","84","null","60","null","462","null","233","null","690","null","265","null","0","null","123","null","690","265","null","null","385","null","173","null","305","null","182","null","462","163","null","null","22","null","30","null","440","163","null","null","365","null","135","null","75","64","null","null","653","176","null","null","21","29","null","null","632","null","173","null","585","169","null","null","47","null","63","null","016","Chinese alone (410-419)",
"0500000US36089","St. Lawrence County, New York","424","132","null","null","193","null","93","null","0","123","null","null","193","null","93","null","14","null","24","null","179","null","83","null","120","null","91","null","39","null","44","null","81","61","null","null","31","null","44","null","50","null","43","null","67","44","null","null","0","null","123","null","67","44","null","null","32","null","26","null","35","26","null","null","44","40","null","null","15","22","null","null","29","null","25","null","29","25","null","null","0","null","123","null","016","Chinese alone (410-419)",
"0500000US36093","Schenectady County, New York","864","236","null","null","265","null","115","null","0","123","null","null","265","null","115","null","25","null","28","null","240","null","109","null","280","null","104","null","19","null","29","null","261","98","null","null","141","null","95","null","120","null","74","null","223","127","null","null","17","null","27","null","206","124","null","null","189","null","117","null","17","28","null","null","96","79","null","null","0","123","null","null","96","null","79","null","96","79","null","null","0","null","123","null","016","Chinese alone (410-419)",
"0500000US36103","Suffolk County, New York","8544","802","null","null","2431","null","480","null","149","71","null","null","2282","null","481","null","328","null","149","null","1954","null","476","null","2180","null","396","null","53","null","61","null","2127","401","null","null","1258","null","248","null","869","null","304","null","2382","404","null","null","31","null","25","null","2351","404","null","null","2037","null","374","null","314","120","null","null","1551","270","null","null","29","34","null","null","1522","null","270","null","1492","258","null","null","30","null","38","null","016","Chinese alone (410-419)",
"0500000US36109","Tompkins County, New York","3198","405","null","null","1882","null","372","null","0","123","null","null","1882","null","372","null","96","null","63","null","1786","null","367","null","907","null","258","null","0","null","123","null","907","258","null","null","519","null","202","null","388","null","174","null","244","116","null","null","50","null","78","null","194","102","null","null","169","null","99","null","25","37","null","null","165","116","null","null","0","123","null","null","165","null","116","null","165","116","null","null","0","null","123","null","016","Chinese alone (410-419)",
"0500000US36111","Ulster County, New York","673","175","null","null","280","null","122","null","0","123","null","null","280","null","122","null","67","null","51","null","213","null","116","null","92","null","52","null","0","null","123","null","92","52","null","null","62","null","37","null","30","null","25","null","191","89","null","null","14","null","26","null","177","84","null","null","142","null","85","null","35","31","null","null","110","72","null","null","0","123","null","null","110","null","72","null","110","72","null","null","0","null","123","null","016","Chinese alone (410-419)",
"0500000US36119","Westchester County, New York","6511","704","null","null","1650","null","367","null","0","123","null","null","1650","null","367","null","297","null","108","null","1353","null","338","null","1806","null","367","null","75","null","52","null","1731","357","null","null","1065","null","243","null","666","null","239","null","1279","249","null","null","32","null","34","null","1247","249","null","null","1070","null","234","null","177","83","null","null","1776","287","null","null","47","38","null","null","1729","null","287","null","1631","288","null","null","98","null","69","null","016","Chinese alone (410-419)",
"0500000US37063","Durham County, North Carolina","2918","398","null","null","1455","null","309","null","19","34","null","null","1436","null","302","null","119","null","89","null","1317","null","277","null","754","null","226","null","0","null","127","null","754","226","null","null","394","null","152","null","360","null","141","null","354","115","null","null","0","null","127","null","354","115","null","null","324","null","117","null","30","31","null","null","355","128","null","null","0","127","null","null","355","null","128","null","355","128","null","null","0","null","127","null","016","Chinese alone (410-419)",
