"GEO_ID","NAME","B05005_001E","B05005_001M","B05005_001MA","B05005_001EA","B05005_002E","B05005_002EA","B05005_002M","B05005_002MA","B05005_003E","B05005_003M","B05005_003MA","B05005_003EA","B05005_004E","B05005_004EA","B05005_004M","B05005_004MA","B05005_005E","B05005_005EA","B05005_005M","B05005_005MA","B05005_006E","B05005_006EA","B05005_006M","B05005_006MA","B05005_007E","B05005_007M","B05005_007MA","B05005_007EA","B05005_008E","B05005_008M","B05005_008MA","B05005_008EA","B05005_009E","B05005_009M","B05005_009MA","B05005_009EA","B05005_010E","B05005_010EA","B05005_010M","B05005_010MA","B05005_011E","B05005_011EA","B05005_011M","B05005_011MA","B05005_012E","B05005_012EA","B05005_012M","B05005_012MA","B05005_013E","B05005_013M","B05005_013MA","B05005_013EA","B05005_014E","B05005_014M","B05005_014MA","B05005_014EA","B05005_015E","B05005_015EA","B05005_015M","B05005_015MA","B05005_016E","B05005_016EA","B05005_016M","B05005_016MA","B05005_017E","B05005_017EA","B05005_017M","B05005_017MA","B05005_018E","B05005_018M","B05005_018MA","B05005_018EA","B05005_019E","B05005_019M","B05005_019MA","B05005_019EA","B05005_020E","B05005_020M","B05005_020MA","B05005_020EA","B05005_021E","B05005_021EA","B05005_021M","B05005_021MA","POPGROUP","POPGROUP_LABEL",
"0500000US06031","Kings County, California","218","118","null","null","55","null","55","null","0","28","null","null","55","null","55","null","16","null","27","null","39","null","45","null","89","83","null","null","0","28","null","null","89","83","null","null","63","null","70","null","26","null","31","null","0","null","28","null","0","28","null","null","0","28","null","null","0","null","28","null","0","null","28","null","74","null","40","null","0","28","null","null","74","40","null","null","31","30","null","null","43","null","27","null","016","Chinese alone (410-419)",
"0500000US06037","Los Angeles County, California","314572","5164","null","null","38159","null","1926","null","611","166","null","null","37548","null","1926","null","1708","null","309","null","35840","null","1823","null","73527","2772","null","null","1305","214","null","null","72222","2800","null","null","27611","null","1303","null","44611","null","2086","null","71186","null","2137","null","809","145","null","null","70377","2106","null","null","53749","null","1749","null","16628","null","941","null","131700","null","2811","null","1820","227","null","null","129880","2798","null","null","122531","2722","null","null","7349","null","690","null","016","Chinese alone (410-419)",
"0500000US06041","Marin County, California","1856","305","null","null","59","null","71","null","0","28","null","null","59","null","71","null","0","null","28","null","59","null","71","null","412","144","null","null","13","21","null","null","399","141","null","null","221","null","91","null","178","null","105","null","399","null","127","null","0","28","null","null","399","127","null","null","305","null","125","null","94","null","58","null","986","null","245","null","14","30","null","null","972","235","null","null","836","189","null","null","136","null","115","null","016","Chinese alone (410-419)",
"0500000US06047","Merced County, California","755","311","null","null","147","null","182","null","0","28","null","null","147","null","182","null","7","null","9","null","140","null","183","null","211","161","null","null","0","28","null","null","211","161","null","null","105","null","109","null","106","null","111","null","293","null","155","null","0","28","null","null","293","155","null","null","267","null","153","null","26","null","34","null","104","null","71","null","0","28","null","null","104","71","null","null","95","68","null","null","9","null","14","null","016","Chinese alone (410-419)",
"0500000US06053","Monterey County, California","1542","340","null","null","241","null","112","null","0","28","null","null","241","null","112","null","7","null","12","null","234","null","112","null","364","147","null","null","22","32","null","null","342","149","null","null","71","null","44","null","271","null","137","null","473","null","197","null","0","28","null","null","473","197","null","null","388","null","193","null","85","null","59","null","464","null","123","null","14","14","null","null","450","123","null","null","394","104","null","null","56","null","51","null","016","Chinese alone (410-419)",
"0500000US06055","Napa County, California","559","159","null","null","40","null","43","null","0","28","null","null","40","null","43","null","0","null","28","null","40","null","43","null","117","62","null","null","0","28","null","null","117","62","null","null","41","null","38","null","76","null","46","null","108","null","84","null","0","28","null","null","108","84","null","null","88","null","79","null","20","null","20","null","294","null","98","null","8","12","null","null","286","98","null","null","269","93","null","null","17","null","20","null","016","Chinese alone (410-419)",
"0500000US06059","Orange County, California","63175","2530","null","null","7853","null","918","null","113","62","null","null","7740","null","914","null","513","null","235","null","7227","null","885","null","11919","1021","null","null","329","141","null","null","11590","1013","null","null","4024","null","569","null","7566","null","793","null","14801","null","1273","null","203","84","null","null","14598","1268","null","null","11505","null","1048","null","3093","null","521","null","28602","null","1364","null","474","162","null","null","28128","1368","null","null","26644","1271","null","null","1484","null","328","null","016","Chinese alone (410-419)",
"0500000US06061","Placer County, California","2299","369","null","null","156","null","140","null","55","92","null","null","101","null","64","null","15","null","24","null","86","null","59","null","377","181","null","null","19","28","null","null","358","182","null","null","179","null","89","null","179","null","135","null","465","null","155","null","7","13","null","null","458","152","null","null","362","null","132","null","96","null","84","null","1301","null","264","null","51","45","null","null","1250","255","null","null","1212","248","null","null","38","null","40","null","016","Chinese alone (410-419)",
"0500000US06065","Riverside County, California","14622","1270","null","null","2049","null","495","null","9","15","null","null","2040","null","495","null","21","null","22","null","2019","null","494","null","4020","707","null","null","172","117","null","null","3848","671","null","null","1461","null","324","null","2387","null","515","null","3420","null","527","null","75","71","null","null","3345","517","null","null","2729","null","474","null","616","null","199","null","5133","null","579","null","105","91","null","null","5028","589","null","null","4836","588","null","null","192","null","107","null","016","Chinese alone (410-419)",
"0500000US06067","Sacramento County, California","28127","1499","null","null","2845","null","586","null","17","23","null","null","2828","null","587","null","108","null","69","null","2720","null","571","null","6705","809","null","null","174","80","null","null","6531","807","null","null","3075","null","423","null","3456","null","559","null","6783","null","725","null","79","71","null","null","6704","710","null","null","5392","null","589","null","1312","null","319","null","11794","null","710","null","182","76","null","null","11612","715","null","null","10980","675","null","null","632","null","165","null","016","Chinese alone (410-419)",
"0500000US06071","San Bernardino County, California","21776","1605","null","null","2380","null","448","null","8","12","null","null","2372","null","447","null","162","null","120","null","2210","null","436","null","5473","852","null","null","144","109","null","null","5329","818","null","null","1747","null","449","null","3582","null","617","null","5796","null","767","null","70","51","null","null","5726","755","null","null","4219","null","650","null","1507","null","328","null","8127","null","795","null","78","56","null","null","8049","790","null","null","7596","754","null","null","453","null","214","null","016","Chinese alone (410-419)",
"0500000US06073","San Diego County, California","38221","2038","null","null","5694","null","860","null","74","68","null","null","5620","null","857","null","218","null","96","null","5402","null","844","null","10279","1099","null","null","304","185","null","null","9975","1046","null","null","2905","null","461","null","7070","null","904","null","9355","null","720","null","307","141","null","null","9048","713","null","null","7027","null","594","null","2021","null","397","null","12893","null","1129","null","389","183","null","null","12504","1083","null","null","11390","853","null","null","1114","null","557","null","016","Chinese alone (410-419)",
"0500000US06075","San Francisco County, California","122876","2569","null","null","10774","null","1305","null","402","181","null","null","10372","null","1301","null","859","null","207","null","9513","null","1230","null","27541","1615","null","null","863","276","null","null","26678","1581","null","null","11846","null","861","null","14832","null","1222","null","27828","null","1438","null","694","234","null","null","27134","1414","null","null","22397","null","1171","null","4737","null","659","null","56733","null","1718","null","1825","360","null","null","54908","1694","null","null","51214","1549","null","null","3694","null","583","null","016","Chinese alone (410-419)",
"0500000US06077","San Joaquin County, California","5698","908","null","null","558","null","224","null","22","23","null","null","536","null","216","null","45","null","45","null","491","null","202","null","1263","375","null","null","33","40","null","null","1230","370","null","null","472","null","158","null","758","null","261","null","1193","null","329","null","19","31","null","null","1174","324","null","null","715","null","173","null","459","null","251","null","2684","null","561","null","35","31","null","null","2649","561","null","null","2514","524","null","null","135","null","109","null","016","Chinese alone (410-419)",
"0500000US06079","San Luis Obispo County, California","847","222","null","null","102","null","94","null","0","28","null","null","102","null","94","null","59","null","87","null","43","null","36","null","319","157","null","null","89","74","null","null","230","141","null","null","125","null","109","null","105","null","78","null","157","null","83","null","33","28","null","null","124","83","null","null","112","null","69","null","12","null","23","null","269","null","96","null","0","28","null","null","269","96","null","null","239","95","null","null","30","null","29","null","016","Chinese alone (410-419)",
"0500000US06081","San Mateo County, California","47542","1664","null","null","3962","null","657","null","133","72","null","null","3829","null","653","null","235","null","187","null","3594","null","589","null","8278","778","null","null","179","87","null","null","8099","784","null","null","2746","null","428","null","5353","null","645","null","11124","null","939","null","95","57","null","null","11029","938","null","null","8919","null","753","null","2110","null","414","null","24178","null","1197","null","553","149","null","null","23625","1180","null","null","22592","1097","null","null","1033","null","271","null","016","Chinese alone (410-419)",
"0500000US06083","Santa Barbara County, California","3601","465","null","null","1349","null","313","null","0","28","null","null","1349","null","313","null","8","null","13","null","1341","null","315","null","856","233","null","null","8","11","null","null","848","233","null","null","240","null","138","null","608","null","196","null","464","null","137","null","81","51","null","null","383","124","null","null","281","null","109","null","102","null","62","null","932","null","201","null","11","20","null","null","921","203","null","null","881","204","null","null","40","null","40","null","016","Chinese alone (410-419)",
"0500000US06085","Santa Clara County, California","116477","3066","null","null","14438","null","1139","null","221","119","null","null","14217","null","1145","null","527","null","149","null","13690","null","1160","null","27399","1686","null","null","582","172","null","null","26817","1644","null","null","8245","null","734","null","18572","null","1413","null","30854","null","1375","null","357","127","null","null","30497","1346","null","null","23114","null","1216","null","7383","null","581","null","43786","null","1548","null","767","180","null","null","43019","1552","null","null","41208","1459","null","null","1811","null","359","null","016","Chinese alone (410-419)",
"0500000US06087","Santa Cruz County, California","1965","385","null","null","419","null","153","null","0","28","null","null","419","null","153","null","21","null","25","null","398","null","155","null","455","155","null","null","44","34","null","null","411","156","null","null","239","null","123","null","172","null","97","null","462","null","162","null","18","20","null","null","444","164","null","null","330","null","137","null","114","null","76","null","629","null","191","null","11","17","null","null","618","189","null","null","569","176","null","null","49","null","51","null","016","Chinese alone (410-419)",
"0500000US06089","Shasta County, California","666","328","null","null","349","null","277","null","0","28","null","null","349","null","277","null","23","null","37","null","326","null","273","null","115","91","null","null","0","28","null","null","115","91","null","null","48","null","41","null","67","null","75","null","45","null","47","null","0","28","null","null","45","47","null","null","44","null","46","null","1","null","6","null","157","null","89","null","41","54","null","null","116","67","null","null","109","63","null","null","7","null","12","null","016","Chinese alone (410-419)",
"0500000US06095","Solano County, California","2861","466","null","null","179","null","114","null","5","13","null","null","174","null","112","null","10","null","16","null","164","null","106","null","624","199","null","null","25","33","null","null","599","201","null","null","293","null","146","null","306","null","135","null","808","null","247","null","0","28","null","null","808","247","null","null","633","null","207","null","175","null","86","null","1250","null","255","null","56","49","null","null","1194","242","null","null","1071","219","null","null","123","null","70","null","016","Chinese alone (410-419)",
"0500000US06097","Sonoma County, California","2798","403","null","null","294","null","163","null","0","28","null","null","294","null","163","null","23","null","21","null","271","null","163","null","730","220","null","null","22","26","null","null","708","220","null","null","318","null","127","null","390","null","167","null","548","null","158","null","26","30","null","null","522","157","null","null","365","null","139","null","157","null","103","null","1226","null","258","null","29","27","null","null","1197","265","null","null","1107","239","null","null","90","null","90","null","016","Chinese alone (410-419)",
"0500000US06099","Stanislaus County, California","1857","433","null","null","272","null","133","null","0","28","null","null","272","null","133","null","46","null","48","null","226","null","127","null","472","250","null","null","8","9","null","null","464","250","null","null","125","null","73","null","339","null","224","null","322","null","161","null","13","20","null","null","309","158","null","null","191","null","114","null","118","null","95","null","791","null","209","null","28","40","null","null","763","189","null","null","703","183","null","null","60","null","49","null","016","Chinese alone (410-419)",
"0500000US06107","Tulare County, California","668","256","null","null","54","null","54","null","0","28","null","null","54","null","54","null","0","null","28","null","54","null","54","null","104","79","null","null","0","28","null","null","104","79","null","null","49","null","57","null","55","null","55","null","106","null","91","null","0","28","null","null","106","91","null","null","36","null","35","null","70","null","62","null","404","null","161","null","11","17","null","null","393","157","null","null","321","139","null","null","72","null","75","null","016","Chinese alone (410-419)",
